NumberInFamily,GEOID
1,42101013100
3,42101008302
2,42101009600
1,42101008500
1,42101027402
4,42101027901
4,42101017400
5,42101019200
1,42101032600
3,42101007300
2,42101010300
1,42101028400
4,42101008400
1,42101034502
1,42101011100
1,42101033600
3,42101010800
3,42101027300
1,42101024500
2,42101009500
3,42101028901
1,42101010400
2,42101032100
1,42101017202
1,42101027600
2,42101029900
1,42101006300
1,42101030100
1,42101010700
7,42101024700
2,42101010800
2,42101031800
1,42101033000
2,42101018802
3,42101032500
4,42101026500
5,42101007400
1,42101006000
3,42101027500
1,42101026500
1,42101017500
1,42101004101
1,42101003100
1,42101017400
1,42101026200
3,42101027300
1,42101029800
1,42101037700
1,42101031900
1,42101028600
1,42101033300
1,42101011000
1,42101000500
3,42101032300
1,42101009300
2,42101008102
1,42101024100
1,42101027600
1,42101030100
1,42101024300
1,42101010200
1,42101010400
1,42101008500
1,42101027700
1,42101027901
1,42101028000
2,42101008000
2,
1,42101002000
2,42101028000
1,42101037700
2,42101009600
2,42101037500
1,42101026800
1,42101024400
5,42101016600
2,42101016701
2,42101039002
1,42101003300
1,42101026200
2,42101002500
1,42101017201
4,42101036100
2,
2,42101039002
2,42101000401
4,42101028600
1,42101020101
3,42101007300
2,42101006500
2,42101029900
3,42101024700
5,42101020200
2,42101032500
4,
4,42101026600
1,42101009500
2,42101008301
2,42101006500
10,42101011000
4,42101029900
7,42101015200
1,42101024300
3,42101031200
1,42101010700
1,42101028600
3,42101027901
1,42101027902
3,42101024900
2,42101003100
2,42101020500
4,42101029000
1,42101014900
3,42101006100
4,42101029900
2,42101018801
4,42101013300
2,42101009802
3,42101032500
4,42101024400
1,42101006500
1,42101011300
4,42101017800
6,42101029900
3,42101006700
3,42101013900
5,42101024800
3,42101032000
1,42101006000
6,42101009400
1,42101002400
2,42101027901
5,42101028800
5,42101030000
4,42101024900
3,42101008302
3,42101025200
2,42101026700
2,42101015300
4,42101006100
2,42101017202
1,42101024700
3,42101020400
2,42101033000
4,42101024500
3,42101025300
5,42101007200
1,42101008301
3,42101009802
5,42101028600
14,42101025200
3,42101026302
3,42101024300
5,42101008200
5,42101006500
3,42101006000
4,42101013800
4,42101032500
4,42101015200
3,42101016702
5,42101010500
3,42101026200
3,42101032300
3,42101037700
7,42101014700
5,42101006700
2,42101017900
2,42101025700
3,42101010900
2,42101033701
4,42101009500
2,42101016901
1,42101007300
1,42101035601
3,42101013900
4,42101013800
3,42101008102
1,42101035800
1,42101034502
2,42101031401
2,42101024400
2,42101035601
2,42101035701
1,42101035601
1,42101008301
1,42101001301
1,42101035500
1,42101002500
1,42101011000
1,42101020200
1,42101014600
1,42101002500
1,42101008302
1,42101003300
1,42101008301
1,42101028000
2,42101009300
1,42101033000
1,42101006400
1,42101006700
1,42101013900
1,42101026302
1,42101017300
1,42101001102
1,42101013300
1,42101013900
1,42101037700
1,42101017300
4,42101007101
1,
1,42101035500
1,42101038800
1,42101011900
1,42101024500
1,42101003701
1,42101008301
1,42101013900
1,42101006300
1,42101008301
1,42101024500
1,42101027402
1,42101008601
2,42101010000
1,42101010500
2,42101009400
2,42101011200
1,42101026900
1,42101006000
1,42101008101
1,42101008301
1,42101010700
1,42101007300
4,42101008500
1,42101027700
3,42101028902
1,42101011000
1,42101008301
1,42101026800
1,42101009600
1,42101006500
3,42101009400
1,42101024300
1,42101037800
1,42101013900
1,42101024700
1,42101003300
1,42101017202
1,42101012201
1,42101030200
1,42101009400
1,42101029300
2,42101008302
1,42101024100
3,
1,42101011200
2,42101026700
1,42101019900
5,42101028400
1,42101008302
3,42101011900
2,42101013900
4,42101037700
1,42101011400
1,42101008301
1,42101016100
3,42101009000
2,42101017202
3,42101028600
1,42101009600
2,42101002500
5,42101017702
1,42101009802
1,42101003701
2,42101010800
3,42101008400
1,42101005600
2,42101015101
3,42101031300
1,42101002200
2,42101013900
3,42101019900
7,42101028400
1,42101030501
1,42101034900
3,42101008500
1,42101025300
3,42101009400
4,42101024700
5,42101031102
3,42101030502
3,42101034900
3,42101010800
3,42101030501
2,42101011400
4,42101017300
6,42101025300
5,42101031900
3,42101033701
6,42101027901
1,42101032600
1,42101012100
4,42101018802
5,42101028000
4,42101037700
3,42101027500
1,42101010800
3,42101032500
3,42101032500
2,42101032000
2,42101024600
2,42101003200
1,42101012201
3,42101006200
2,42101024900
1,42101034802
4,42101007101
1,42101036501
5,42101010700
4,42101031700
1,42101000500
4,42101027700
2,42101029000
7,42101008200
2,42101031700
3,42101011500
1,42101030900
3,42101032900
7,42101015300
4,42101009300
2,42101020500
2,42101017701
5,42101008000
6,42101014700
5,42101037700
4,42101010200
5,42101016600
3,42101013900
3,42101024900
4,42101017300
2,42101010400
5,42101017702
1,42101009000
6,42101017400
1,42101034501
2,42101035601
5,42101002100
1,42101035500
2,42101015102
1,42101033701
1,42101033800
1,42101035900
1,42101033701
6,42101017800
2,42101035702
1,42101033701
1,42101033701
1,42101035601
3,42101033000
1,42101035701
2,42101033701
1,42101035500
2,42101034502
2,42101035701
1,42101008301
1,42101003300
1,42101006600
1,42101013500
1,42101025900
2,42101016701
1,42101006600
1,42101020101
1,
1,42101008400
3,42101009600
1,42101003600
1,42101007700
1,42101017702
6,42101008302
1,42101011900
1,42101008500
1,42101007300
1,42101008102
1,42101010100
1,42101011400
1,42101010600
1,
1,42101014100
1,42101024700
1,42101011900
1,42101024700
2,42101031101
1,42101011900
1,42101011900
1,42101016901
1,42101029100
1,42101009300
1,42101010600
1,42101024000
1,42101028800
1,42101016901
1,42101014000
1,42101011100
1,42101020400
2,42101030000
2,42101010800
1,42101024900
1,42101024300
1,42101020101
1,42101011200
2,42101013900
1,42101037700
3,42101009802
1,42101016800
3,42101017900
3,42101003701
1,42101024300
1,42101029900
1,42101035500
2,42101008302
3,42101006200
1,42101030100
1,42101032300
1,42101009600
1,42101030000
3,42101008102
2,42101017800
4,42101008102
1,42101034900
3,42101024200
1,42101008101
3,42101032300
5,42101027402
2,42101013900
1,42101030600
3,42101006200
1,42101003600
2,42101006700
2,42101015102
2,42101018801
1,42101030000
4,42101010400
1,42101027902
3,42101030100
5,42101019700
1,42101017100
2,42101028000
2,42101016400
2,42101013900
2,42101010700
5,42101003200
5,42101010700
1,42101026000
2,42101026100
1,42101011900
2,42101034701
2,42101007102
1,42101024600
3,42101025300
4,42101013300
2,42101010500
3,42101006200
1,42101029800
2,42101024100
4,42101026400
2,42101024200
4,42101029400
9,42101006500
1,42101007000
2,42101028300
5,42101003300
5,42101017400
2,42101007000
2,42101011400
6,42101030700
5,42101009300
1,42101003200
5,42101031200
2,42101017100
4,42101009600
5,42101024200
3,42101011200
1,42101017100
1,42101031401
4,42101011500
4,42101002500
1,42101020200
3,42101024300
3,42101019800
4,42101010100
1,42101006300
6,42101031800
2,42101031700
3,42101003901
4,42101031700
2,42101037700
8,42101024200
3,42101011800
4,42101010400
4,42101037700
3,42101011800
4,42101010800
4,42101016701
5,42101014900
3,42101007101
4,42101013900
4,42101019000
3,42101006600
2,42101016200
7,42101016702
1,42101002500
3,42101007000
3,42101026400
4,42101010100
1,42101020200
3,42101008101
7,42101010600
6,42101031101
6,42101028300
1,42101035601
6,42101024900
4,42101024400
3,42101024000
5,42101015102
1,42101034702
2,42101035702
1,42101035601
2,42101033701
2,42101034701
1,42101009300
1,42101030700
1,42101014900
1,42101008301
1,42101017100
1,42101015102
4,42101006400
1,42101008301
1,42101031800
1,42101003300
2,42101011200
1,42101008601
1,42101011900
2,42101031900
1,42101017500
2,42101002500
1,42101008301
1,42101013900
1,42101000701
1,42101029400
1,42101033701
1,42101025200
1,42101026700
1,42101026800
1,42101025400
3,42101009400
2,
1,42101030600
1,42101019000
1,42101032300
1,42101006000
1,42101033300
1,42101028000
2,42101019200
1,42101008301
3,42101025200
1,42101032100
1,
1,42101011400
1,42101033701
3,42101028600
1,42101028800
2,42101039001
1,42101013900
1,42101007000
1,42101030501
1,42101025200
2,42101003702
3,42101028400
1,42101017500
2,42101007200
2,42101010300
2,42101017201
1,42101024500
3,42101029900
4,42101027901
1,42101010100
1,42101006700
1,42101006700
2,42101003901
3,42101031700
2,42101006500
1,42101007900
2,42101014700
2,42101033000
2,42101008302
2,42101009600
4,42101007102
2,42101029800
1,42101010200
2,42101010800
5,42101024400
1,42101006200
1,42101026200
2,42101006200
3,42101016902
2,42101018802
1,42101030502
3,42101028600
1,42101017201
1,42101012201
3,42101028400
5,42101039002
2,42101010800
5,42101037700
4,42101028300
1,42101031200
6,42101024400
1,42101035701
1,42101010600
2,42101028902
5,42101037700
5,42101027600
1,42101030000
2,42101008200
3,42101010800
5,42101008200
2,42101020400
5,42101009400
3,42101016100
1,42101031101
1,42101006600
5,42101020200
2,42101028000
4,42101024400
4,42101028300
4,42101026800
1,42101011900
